{{书籍
|书籍名=晨昏先祖书
|卷数=1<!-- 仅填写数字 -->
|编号=5108<!-- 按照游戏内显示顺序编号，第一位为所属编号，共四位 -->
|描述=天空末裔的族谱，自黄金世至今代代相传，记载了先祖的事迹和功绩。大部分段落已经佚失。
|所属=5
|相关角色=风堇
|类型=资料
|实装版本=3.3
}}

{{书籍/分卷
|名称=晨昏先祖书
|卷数=1
|实装版本=3.3
|获取方式=「沉沦暮城」奥赫玛静水主池界域定锚，右转穿过水帘直走进入小房间，与 {{图标|真言狮口}}交互获取。
|内容='''天上书'''<br />
<br />
<br />
'''「风筝舞者」阿娜斯塔西娅，雨之民'''<br />
''以及她的翼兽，辛西娅''<br />
自艾格勒张开百目注视大地以来最好的风筝舞者。如同飞鸟生来会用羽翼拨动微风，她能用指尖掌控最为细微的气流。<br />
天上诸邦仍繁盛时，我们齐聚晨昏会，为她乘风筝掠过云层的身影欢呼，却不知黄金世已经迎来尾声。灾厄的泰坦射落艾格勒的百目，失控的飓风撕裂诸邦间的航道。为了寻回卷入乱流中的堡垒，阿娜斯塔西娅与辛西娅开始了最后一次航行，从此再也没有回来。<br />
''「当她的身影沉入乱云再未升起，我们才终于醒悟。一个新的时代开启了，而这个时代注定不属于我们。」''<br />
<br />
<br />
'''「失范的裁判官」克里斯普斯，冬之民'''<br />
''以及他的翼兽，西力迩''<br />
成长在最接近天幕的天空城邦的凛冬中，克里斯普斯具备着冬之民常见的秉性：冷静、细致、逻辑严密、刚直不屈。他用自己的前半生走近天象画壁，成为艾格勒赐福下的一位裁判官。<br />
而当他看见律法被祭司屡次修改，目睹雨之民仅仅因画壁呈现晴日便被判处渎神之罪，却开始怀疑起来时之路。最终，怀疑酝酿为背叛，他包庇雨之民的失范之举被察觉，愤怒的晖之民用砾石将他处死，试图用羽翼庇护他的西力迩也一并消亡。<br />
''「『在将石头丢向他之前，艾格勒已确证了我的无罪。』一位晖之民说。」''<br />
<br />
<br />
'''<s>「黄昏之女」塞涅俄丝，异端血脉</s>'''<br />
<s>流着不详血脉的杂种，竟听信大地上漫布的惑众妖言，背弃养育自己神明……</s><br />
<s>'''「行猎天穹的神明」'''</s><br />
<s>不可直呼它的名讳，因它已以己身击碎苍穹。一切旧日异端，都应在它降下的烈焰中焚毁……</s><br />
''（此页遍布删改，连字缝间也写满了密密麻麻、难以看清的蝇头小字。最终被全部删去。）''<br />
'''「阳雷骑士」塞涅俄丝'''<br />
''以及她的翼兽，露奈比斯和索拉比斯''<br />
烈阳与阴雨共同的子嗣，逐火弑神的先驱。被视为不洁的血脉，她降下大地游历，与传谕的圣女相识，得知了「再创世」的预言。也因此，她重回天空，带着终结神明的夙愿。<br />
索拉比斯点燃了泰坦的羽翼，露奈比斯封锁了泰坦的身躯，塞涅俄丝则洞穿了艾格勒的最后一只眼睛，夺过了司掌晨昏的权柄，并将取回火种的使命交由后人。<br />
执掌天穹的神明也会负伤坠落，千万人为之奔赴的逐火由此开始。<br />
''「…功过罪责，或许尚且轮不到我们评说。」''<br />
<br />
<br />
'''地上书'''<br />
<br />
<br />
'''「昏光将领」特克菈'''<br />
''以及她的翼兽，康斯坦丁''<br />
天空的流民离开家园时，大地上的生灵和物产已经被地上诸邦分割干净。他们在野地建立起昏光庭院行医，却屡屡遭到勒索和驱逐。直至黄金战争中特克菈成为领袖。<br />
她以刚强性格和铁血手段，凭借医术为筹码与奥赫玛结盟，在抵御悬锋军队的战争中屡获功勋。昏光庭院自此在奥赫玛获得了一席之地，获得了近百年之久的安宁。<br />
''「天空之民被药草汁液浸透的指尖，有着更辽阔、更宽广的力量……」''<br />
<br />
<br />
'''「斗士」雅辛缇娅'''<br />
''以及她的翼兽，索提芬''<br />
逐火的狩神之战落幕，城邦间的战潮再度掀起。圣城权力更迭，动荡不安，昏光庭院也失去了庇护之地，再次沦为野地中的流浪部族。<br />
为了在悬锋兵锋下苟存，雅辛缇娅孤身参加悬锋祭典，试图用荣誉换取一纸和平誓约，却倒在了最后的一战中。<br />
''「最后一位领袖归于塞纳托斯的怀抱，天空的流民自此散落，天各一方。」''
}}
