{{书籍
|书籍名=界外天魔传说
|卷数=1<!-- 仅填写数字 -->
|编号=6029<!-- 按照游戏内显示顺序编号，第一位为所属编号，共四位 -->
|描述=关于反物质军团降临与绘世拯救世界的神话。
|所属=6
|类型=书籍
|实装版本=4.0
|相关角色=
|相关任务=
}}

{{书籍/分卷
|名称=界外天魔传说
|卷数=1
|实装版本=4.0
|获取方式=二维市 BOOK-ON！书店购买。书店位于泊地站前广场界域定锚和老饕小巷界域定锚中间。
|内容=界外天魔传说，始终是二相乐园艺术创作中永恒的母题。然而层出不穷的改编与演绎，早已让这段古老传说丢失了原本的面貌。笔者遍寻残卷，筛选其中较为可信的记载，试图还原传说最初的样子——那并非一部正义横扫邪恶的爽文，而是一曲文明沉沦苦海的悲歌。<br />
<br />
琥珀纪2148纪，在席卷诸多星系后，反物质军团将毁灭的巨爪伸向了如今的失魂星域，这颗尚被称为「弁才天国」的星球自然也无法幸免，烬土纪元就此撕开序幕。人们惊讶地发现，大地上一夜之间筑起座座高阁，与此同时，无数不可名状的怪物从其中涌出，这些怪物即被称为「界外天魔」，而这场战争也被称作「天魔浩劫」。<br />
<br />
尽管史料多有散佚，我们仍能从后人的视线中一窥当时的绝望：整个星域被点燃，百年后，临近的世界仍能窥见天幕间熊熊燃烧的群星。<br />
<br />
危局之下，古弁才天国的幸存者得出四种应对之策：<br />
<br />
其一为「投敌派」。此派人见抵抗无望，自甘堕落，投身毁灭麾下…笔者不愿费笔墨赘述。<br />
<br />
其二为「顽抗派」。此派在传奇画师「绘世」的带领下，于笔尖施展幻造之法，将画中强大造物绘以实体、赋以人格。若非这些最初的「幻造种」大大延缓了界外天魔的攻势，二相乐园恐早已沦为不毛之地。<br />
<br />
其三为「撤离派」。此派兼具实力财力，人数最少，大多为旧时权贵。在多年后，其中幸存者的后裔返回二相乐园并声称「若非我们向星际和平公司求助，继而打捞出画中世界，何来现在的二相乐园？」不去深究这副无耻说辞的真伪，历史自会给出公允的裁判。<br />
<br />
其四为「求援派」。此派事迹最为真假难辨，也是虚构历史的重灾区。目前流传的诸多版本，几乎求援了所有星神，例如「丰饶恩赐降维药」、「阿基维利复活相助」、「阿哈狂笑逼退纳努克」等等，甚至衍生出「存护一锤将二相乐园砸进二次元」的离奇版本，足见传说之失真。<br />
<br />
笔者在此郑重呼吁：戏说不是胡说，改编不是乱编，望创作者们在后续的创作中遵从基本逻辑。<br />
<br />
然而古弁才天国的结局，属于第五种未曾预料的道路——「入画」。<br />
<br />
在界外魔战争的最后关头，利用古老的幻月游戏，绘世竟将整个古弁才天国连同其上的一切生灵从现实世界隐去，一并藏进二维的「画中世界」。敌人赢得了战争的胜利，却失去了根除文明的机会；古弁才天国失去了现实，却换来了文明的存续。<br />
<br />
充满传说色彩的烬土纪元也在此戛然而止，古弁才天国迈进「入画时代」的信史新篇。<br />
<br />
界外天魔的传说虽至此落幕，但这段历史的回响至今依旧在倒映着幻月的海面上荡漾。在那看似平静的碧蓝下，还隐藏了许多不为人知的真相，等待着求真之人去探索。
}}
